,precision,recall,f1-score,support
31,0.7222222222222222,0.8666666666666667,0.7878787878787877,30.0
non,0.7021375464684015,0.867892016082711,0.7762650911893142,1741.0
38,0.7172236503856041,0.8134110787172012,0.7622950819672131,343.0
37,0.75,0.7422680412371134,0.7461139896373057,97.0
29,0.7049180327868853,0.7818181818181819,0.7413793103448276,55.0
21,0.7268041237113402,0.7121212121212122,0.7193877551020409,198.0
11,0.7155963302752294,0.6995515695067265,0.7074829931972789,446.0
10,0.6446700507614214,0.6958904109589041,0.6693017127799737,365.0
36,0.6244131455399061,0.7112299465240641,0.6649999999999999,187.0
27,0.6456456456456456,0.6697819314641744,0.6574923547400612,321.0
19,0.6162280701754386,0.6972704714640199,0.6542491268917346,403.0
30,0.6037735849056604,0.6464646464646465,0.624390243902439,198.0
accuracy,0.6223832528180354,0.6223832528180354,0.6223832528180354,0.6223832528180354
2,0.6684782608695652,0.5616438356164384,0.6104218362282878,219.0
weighted avg,0.6031395373404556,0.6223832528180354,0.6042000215189686,7452.0
7,0.7307692307692307,0.4935064935064935,0.5891472868217055,77.0
22,0.5389221556886228,0.6101694915254238,0.5723370429252782,295.0
17,0.5888888888888889,0.53,0.5578947368421053,100.0
25,0.46938775510204084,0.6764705882352942,0.5542168674698795,34.0
32,0.5277777777777778,0.5277777777777778,0.5277777777777778,36.0
16,0.5522388059701493,0.4868421052631579,0.5174825174825174,76.0
1,0.5380952380952381,0.48917748917748916,0.5124716553287981,231.0
24,0.5126050420168067,0.4793713163064833,0.4954314720812183,509.0
20,0.5,0.4596774193548387,0.4789915966386554,124.0
macro avg,0.5307022316097108,0.4420189459501563,0.45954137652858795,7452.0
3,0.47058823529411764,0.4050632911392405,0.43537414965986393,79.0
15,0.42857142857142855,0.43873517786561267,0.43359375,253.0
4,0.5333333333333333,0.29906542056074764,0.3832335329341317,107.0
39,0.5714285714285714,0.2857142857142857,0.38095238095238093,28.0
18,0.3548387096774194,0.2894736842105263,0.31884057971014496,38.0
35,0.36283185840707965,0.26282051282051283,0.3048327137546468,312.0
12,0.43373493975903615,0.21951219512195122,0.29149797570850206,164.0
8,0.45454545454545453,0.2,0.2777777777777778,25.0
23,0.5,0.17391304347826086,0.25806451612903225,23.0
13,0.4230769230769231,0.12359550561797752,0.19130434782608693,89.0
28,0.3157894736842105,0.13043478260869565,0.1846153846153846,46.0
33,0.5,0.1111111111111111,0.1818181818181818,18.0
26,0.38461538461538464,0.1111111111111111,0.1724137931034483,45.0
14,0.5,0.09090909090909091,0.15384615384615385,22.0
34,0.3333333333333333,0.09090909090909091,0.14285714285714288,11.0
9,0.5,0.07692307692307693,0.13333333333333336,13.0
6,0.22727272727272727,0.07246376811594203,0.10989010989010989,69.0
5,0.13333333333333333,0.08,0.1,25.0
